id,collection,item status,BITSTREAM Download URL,file_path,BITSTREAM ISBN,BITSTREAM License,BITSTREAM Webshop URL,dc.abstractotherlanguage,dc.acronym,dc.anonymity,dc.chapternumber,dc.contributor,dc.contributor.author,dc.contributor.editor,dc.contributor.illustrator,dc.contributor.other,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.submitted,dc.dateSubmitted,dc.description,dc.description.abstract,dc.description.provenance,dc.description.version,dc.fundingReference,dc.grantproject,dc.identifier,dc.identifier.citation,dc.identifier.isbn,dc.identifier.issn,dc.identifier.namewebshop,dc.identifier.pr,dc.identifier.uri,dc.identifier.urlwebshop,dc.language,dc.name,dc.notes,dc.number,dc.openreview,dc.peerreviewid,dc.peerreviewtitle,dc.publisher,dc.redirect,dc.relation.isnodouble,dc.relation.ispartofseries,dc.relation.isreplacedbydouble,dc.relationisFundedBy,dc.responsibility,dc.reviewertype,dc.reviewtype,dc.rights,dc.rights.license,dc.rights.licenseurl,dc.rights.uri,dc.seriesnumber,dc.source,dc.stage,dc.subject,dc.subject.classification,dc.subject.other,dc.subjectClassification,dc.title,dc.title.alternative,dc.type,dc.website,eperson.firstname,eperson.language,eperson.lastname,eperson.phone,eperson.publisher,grantor.acronym,grantor.doi,grantor.jurisdiction,grantor.name,item status,oapen.abstract.otherlanguage,oapen.collection,oapen.edition,oapen.grant.acronym,oapen.grant.number,oapen.grant.program,oapen.grant.project,oapen.identifier.doi,oapen.identifier.downloadUrl,oapen.imprint,oapen.pages,oapen.peerreview,oapen.place.publication,oapen.relation.funds,oapen.relation.hasChapter,oapen.relation.hasChapter_dc.title,oapen.relation.isFundedBy,oapen.relation.isFundedBy_grantor.name,oapen.relation.isPartOfBook,oapen.relation.isPartOfBook_dc.title,oapen.relation.isPublishedBy,oapen.relation.isPublishedBy_publisher.name,oapen.relation.isPublisherOf,oapen.relation.isbn,oapen.remark.public,oapen.review,oapen.review.comments,oapen.review.original,oapen.reviewer.identity,oapen.series.number,oapen.volume,peerreview.anonymity,peerreview.id,peerreview.open.review,peerreview.publish.responsibility,peerreview.review.decision,peerreview.review.stage,peerreview.review.type,peerreview.reviewer.type,peerreview.title,publisher.address,publisher.authorinstructions,publisher.authorinstructions.url,publisher.chargeauthors,publisher.chargeauthors.url,publisher.contact,publisher.country,publisher.description,publisher.email,publisher.identifier,publisher.name,publisher.oabooks.exampleUrl,publisher.oabooks.number,publisher.oalicense,publisher.peerreview.info,publisher.peerreviewpolicy,publisher.phone,publisher.program,publisher.register,publisher.register.url,publisher.status.active,publisher.website
ac07f4db-269a-494c-a365-34d4798315df,20.500.12854/6,Archived,http://www.mdpi.com/books/pdfview/book/162,Mechanics_of_Biomaterials,,https://creativecommons.org/licenses/by/4.0/,http://goo.gl/HEjrz1,,,,,,,,,,2021-02-11T19:00:51Z,2021-02-11T19:00:51Z,2015,10/05/2016 11:55,,,"The mechanical behavior of biomedical materials and biological tissues are important for their proper function. This holds true, not only for biomaterials and tissues whose main function is structural such as skeletal tissues and their synthetic substitutes, but also for other tissues and biomaterials. Moreover, there is an intimate relationship between mechanics and biology at different spatial and temporal scales. It is therefore important to study the mechanical behavior of both synthetic and livingbiomaterials. This Special Issue aims to serve as a forum for communicating the latest findings and trends in the study of the mechanical behavior of biomedical materials.","Made available in DSpace on 2021-02-11T19:00:51Z (GMT). No. of bitstreams: 1
Mechanics_of_Biomaterials.png?500603: 62667 bytes, checksum: f2c1a732a55ec3557c31751380e27974 (MD5)
  Previous issue date: 2015",,,,19020,,,,,,https://directory.doabooks.org/handle/20.500.12854/52931,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,,nanobiomechanics||cytoskeletal mechanics||metallic biomaterials||bioprinting and biofabrication||hydrogels||hard tissues||drug delivery biomaterials||and nanoporous biomaterials||additively manufactured and 3d printed biomaterials||soft tissues||soft polymeric biomaterials||biomaterials for tissue engineering and regenerative medicine||microporous||mesoporous||hybrid biomaterials and composites,,Mechanics of Biomaterials,,book,,,,,,,,,,,Archived,,,1st,,,,,,,,286,,,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783038421283||9783038421276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a90d7ccf-980d-40a1-bfd1-20077d23c70f,20.500.12854/6,Archived,https://www.mdpi.com/books/pdfview/book/1124,Novel_Biomaterials_for_Tissue_Engineering_2018,,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://www.mdpi.com/books/pdfview/book/1124||https://play.google.com/books/publish/a/14935057684283403269#details/ISBN:9783038975434,,,,,,Emmanuel Stratakis (Ed.),,,,2021-02-11T21:16:55Z,2021-02-11T21:16:55Z,2019,05/02/2019 10:26,,,"The concept of regenerating tissues, with properties and functions that mimic natural tissues, has attracted significant attention in recent years. It provides potential solutions for treating many diseases and other healthcare issues. To fully realize the potential of the approach, it is crucial to have a rational biomaterial design to create novel scaffolds, and other materials systems suitable for tissue engineering, repair and regeneration. Research advances on the topic include the design of new biomaterials and their composites, the scaffold fabrication via subtractive and additive manufacturing approaches, the development of implantable scaffolds for disease monitoring, diagnostics, and treatment, as well as the understanding of cells–biomaterial scaffolds interaction. This Special Issue, “Novel Biomaterials for Tissue Engineering”, covers a selection of timely research activities in the field of biomaterials for tissue engineering and regeneration purposes. Promising findings on different approaches to design and develop new biomaterials, biomaterial systems and methods for tissue engineering, are presented and discussed. Recent advances in biofabrication techniques for tissue engineering are additionally demonstrated. The issue comprises a series of state-of-the-art experimental works, up-to-date review articles and commentaries.","Made available in DSpace on 2021-02-11T21:16:55Z (GMT). No. of bitstreams: 1
Novel_Biomaterials_for_Tissue_Engineering_218.jpg: 124944 bytes, checksum: 2791e861c145282470f4d2b2718cb89b (MD5)
  Previous issue date: 2019",,,,32180,,,,,,https://directory.doabooks.org/handle/20.500.12854/54869,,English[eng],,,,,,,,,,,,,,,,,,,,,,,TP248.13-248.65||TA401-492,"thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TC Biochemical engineering::TCB Biotechnology",tissue regeneration||biomaterial structuring||tissue engineering||implantable scaffolds||scaffolds||biomaterials||bioprinting||cell-biomaterial interaction,,Novel Biomaterials for Tissue Engineering 2018,,book,,,,,,,,,,,Archived,,,1st,,,,,10.3390/books978-3-03897-544-1,,,426,,,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783038975441||9783038975434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045ca2c-c6c2-4f34-9640-8b5ff26ec4cf,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/6601,Biomaterials_for_Tissue_Engineering_and_Regeneration,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://mdpi.com/books/pdfview/book/6601,,,,,,,"Ressler, Antonia||Urlic, Inga",,,2023-02-02T16:32:12Z,2023-02-02T16:32:12Z,2023,,,,"Biomaterials are an integral component of tissue engineering, and their development is crucial to the progress of new and efficient approaches in the regenerative medicine of bone, cartilage, tendons and ligaments, skin, soft-tissue wounds, cardiac muscle, vascular tissues, and neural tissues.Polymer-based biomaterials are extensively studied in the field of tissue engineering due to their biocompatible and biodegradable properties. This Special Issue is devoted to recent developments of synthetic and/or natural biomaterial scaffolds, hydrogels, polypeptides, polymer-based composites, and composites based on polymers and inorganic materials, such as bioactive ceramics and glasses. New technologies (e.g., bioprinting, additive manufacturing, etc.) used to form biomaterials for tissue engineering of three-dimensional (3D) constructs are of particular interest.","Made available in DSpace on 2023-02-02T16:32:12Z (GMT). No. of bitstreams: 1
Biomaterials_for_Tissue_Engineering_and_Regeneration.jpg: 58374 bytes, checksum: 7cfae52782727556df34747574081e53 (MD5)
  Previous issue date: 2023",,,,ONIX_20230202_9783036563619_57,,,,,,https://directory.doabooks.org/handle/20.500.12854/96656,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,thema EDItEUR::M Medicine and Nursing,keratin hydrolysate||bioactive keratin||skin homeostasis restoration||skin wound healing||decellularization||Tergitol||valve bioprostheses||cardiac tissue engineering||mesenchymal stem cells||biocompatibility||oxidized sodium alginate||oxidation degree||biodegradation gelation ability||rheological properties||ascorbate||ascorbyl palmitate||drug delivery||cellular uptake||nanoparticles||antitumor effect||collagen||tissue engineering||biomaterials||scaffolds||heparinize||bovine pericardium||scaffold||hemocompatibility||endothelialization||extracellular matrix||porcine pericardium||high hydrostatic pressurization method||surfactant method||3D fabrication||ligament||hydrogel||diabetic foot||wound dressing||bioactive glass||polylactic acid||electrochemical evaluations||homografts||ischaemic harvesting||cryopreservation||glutaraldehyde-fixation||alginate||chitosan||bone regeneration||composite||polymer||graphene||osteogenesis||rat femur defect||in vivo||bone healing||injectable hydrogel||chondrocytes||co-cultures||subcutaneous implantation||cartilage regeneration||PLGA||electrospinning||morphology||immune response||microscopy||defect||bone remodeling||bovine hydroxyapatite||calcium lactate||BHA–GEL pellet||PCL-PEG||polymer micelle||drug cargo||breast cancer||cross-linked hyaluronic acid||nano hydroxyapatite||bone morphogenetic protein||injection-type bone forming material||ectopic bone formation||bone augmentation||cell culture||fibroblasts||gelatin||GelMA||XPS (X-ray photoelectron spectroscopy)||tensile properties||in vitro study,,Biomaterials for Tissue Engineering and Regeneration,,book,,,,,,,,,,,Archived,,,,,,,,10.3390/books978-3-0365-6360-2,,,366,,Basel,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783036563619||9783036563602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ebe6b88-2d06-424c-8b7c-259a5426e3b6,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/2763,Surface_Engineering_of_Biomaterials,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://mdpi.com/books/pdfview/book/2763,,,,,,,"AminYavari, Saber",,,2021-05-01T15:35:00Z,2021-05-01T15:35:00Z,2020,,,,"Acceptance or rejection of implanted biomaterials is strongly dependent on an appropriate bio-interface between the biomaterial and its surrounding tissue. Given the fact that most bulk materials only provide mechanical stability for the implant and may not interact with tissues and fluids in vivo, surface modification and engineering of biomaterials plays a significant role towards addressing major clinical unmet challenges. Increasing data showed that altering surface properties including physiochemical, topographical, and mechanical characteristics, is a promising approach to tackle these problems. Surface engineering of biomaterials could influence the subsequent tissue and cellular events such as protein adsorption, cellular recolonization, adhesion, proliferation, migration, and the inflammatory response. Moreover, it could be based on mimicking the complex cell structure and environment or hierarchical nature of the bone. In this case, the design of nano/micrometer patterns and morphologies with control over their properties has been receiving the attention of biomaterial scientists due to the promising results for the relevant biomedical applications. This Special Issue presents original research papers that report on the current state-of-the-art in surface engineering of biomaterials, particularly implants and biomedical devices.","Made available in DSpace on 2021-05-01T15:35:00Z (GMT). No. of bitstreams: 1
Surface_Engineering_of_Biomaterials.jpg?v1618830778: 142345 bytes, checksum: 008c5f3d0d0715175b1117f6af260ef0 (MD5)
  Previous issue date: 2020",,,,ONIX_20210501_9783039368983_741,,,,,,https://directory.doabooks.org/handle/20.500.12854/68995,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,"thema EDItEUR::G Reference, Information and Interdisciplinary subjects::GP Research and information: general",surface modification||micro-powder blasting||aluminum anodization||micro/nano-structure||cell culture||electrophoretic deposition||enamel remineralization||bioactive glass||spectrophotometry||nanoindentation||rhBMP-2||rhPDGF-BB||heparin||implant surface||osseointegration||bone regeneration||beagle dog||diamond-like carbon||frictional property||hydrogen content||sp2/sp3 ratio||hydroxyapatite||titanium implants||mineralizing solution||solution plasma treatment,,Surface Engineering of Biomaterials,,book,,,,,,,,,,,Archived,,,,,,,,10.3390/books978-3-03936-899-0,,,86,,"Basel, Switzerland",,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783039368983||9783039368990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fcaf0a6-b5fb-4670-b177-167c519fc61b,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/7699,PolymerBased_Biomaterials_and_Tissue_Engineering,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://mdpi.com/books/pdfview/book/7699,,,,,,,"Sabater i Serra, Roser||Serrano-Aroca, Ángel",,,2023-08-08T15:28:28Z,2023-08-08T15:28:28Z,2023,,,,"Polymers in the form of films, fibers, nano- and microspheres, composites, and porous supports are promising biomaterials for a wide range of advanced biomedical applications. This Special Issue presents novel studies and new approaches in the field of biomaterials for tissue engineering and drug delivery. It includes seven original research articles and two reviews on biomaterials based on polymeric matrices with various structures, including porous composites, nanofibrous scaffolds, meshes, and hydrogels, which can include micro- or nanoparticles (graphene nanosheets, bioactive glass, and hydroxyapatite and halloysite nanotubes).","Made available in DSpace on 2023-08-08T15:28:28Z (GMT). No. of bitstreams: 1
PolymerBased_Biomaterials_and_Tissue_Engineering.jpg: 135737 bytes, checksum: 7543dc10482f5293c586eccd3458dcab (MD5)
  Previous issue date: 2023",,,,ONIX_20230808_9783036582375_79,,,,,,https://directory.doabooks.org/handle/20.500.12854/112573,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,thema EDItEUR::M Medicine and Nursing,bioactive glass||copper||polyhydroxyalkanoates||tissue engineering||scaffolds||parastomal hernia||surgical mesh||hernia repair||prevention||biocompatibility||n/a||polylactic acid||copolymers||catalysts||polymer synthesis||ring-opening polymerization||medical application||electrospun nanofibres||nanocomposites||polylactic acid (PLA)||poly(ε-caprolactone) (PCL)||halloysite nanotubes (HNTs)||drug release||release kinetic modelling||nanoparticles||rivastigmine||intranasal application||optimization||quality by design||polymer-ceramic composites||hydroxyapatite||collagen||swelling capacity||surface roughness||wettability||surface free energy||nonwoven||cardiovascular stent||human endothelial cells||CD31||polysaccharide||carrageenan||nanoparticle||pulmonary drug delivery||carbon-based nanocomposite||conductive cell substrate||semi-IPN hydrogel||graphene nanosheets||poly(3-hydroxybutyrate-co-3-hydroxyvalerate)||polyvinyl alcohol,,Polymer-Based Biomaterials and Tissue Engineering,,book,,,,,,,,,,,Archived,,,,,,,,10.3390/books978-3-0365-8236-8,,,190,,Basel,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783036582375||9783036582368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7eea3a8f-0819-4cca-92ab-a3322440d6ad,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/6553,Biomaterials_for_Bone_Tissue_Engineering_2020,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://mdpi.com/books/pdfview/book/6553,,,,,,,"Bloise, Nora||Fassina, Lorenzo",,,2023-01-05T12:37:31Z,2023-01-05T12:37:31Z,2022,,,,"This book presents recent advances in the field of bone tissue engineering, including molecular insights, innovative biomaterials with regenerative properties (e.g., osteoinduction and osteoconduction), and physical stimuli to enhance bone regeneration.","Made available in DSpace on 2023-01-05T12:37:31Z (GMT). No. of bitstreams: 1
Biomaterials_for_Bone_Tissue_Engineering_2020.jpg: 54619 bytes, checksum: b0e79df0517554eba83efa75f58d2143 (MD5)
  Previous issue date: 2022",,,,ONIX_20230105_9783036561042_125,,,,,,https://directory.doabooks.org/handle/20.500.12854/95896,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,thema EDItEUR::M Medicine and Nursing,bone||collagen type I||alginate||conditioned medium||viability||MSC||osteogenesis||pulsed electromagnetic field||osteogenic factors||wool keratin scaffolds||bone tissue engineering||biocompatibility||biomaterials||bone augmentation||bone conduction||bone grafting||calcium hydroxyapatite||tissue regeneration||dental implants||osseointegration||osteoporosis||zoledronate||animal model||titanium membrane||titanium foil||occlusive titanium barrier||guided bone regeneration||osteoporotic condition||xenograft||bone regeneration||titanium implants||additive manufacturing||reused powder||unit cell topology||tissue engineering||mechanical properties||stem cells||surface functionalization||titanium||protein adsorption||surface modifications||cell interactions||collagen hydrogel||cell delivery||olfactory ectomesenchyme stem cells||bioactive glasses||alkali-free||sol–gel||bone remodeling||bone disorders||biomechanics||scaffolds||microenvironment||3D bioprinting||computational modeling||bone implant||bone defects||chitosan||degree of deacetylation||bone formation||X-ray micro CT||histology||sheep tibia,,Biomaterials for Bone Tissue Engineering 2020,,book,,,,,,,,,,,Archived,,,,,,,,10.3390/books978-3-0365-6103-5,,,242,,Basel,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783036561042||9783036561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f95455d9-2b65-498d-af17-54710d84840e,20.500.12854/6,Archived,https://intech-files.s3.amazonaws.com/a043Y00000yuj6cQAA/0014879_Authors_Book%20%282024-06-19%2010%3A32%3A20%29.pdf,0014879_Authors_Book (2024-06-19 10_32_20),9.78E+12,https://creativecommons.org/licenses/by/3.0,https://www.intechopen.com/books/12826,,,,,,,"Vizureanu, Petrica||Simona Baltatu, Madalina",,,2024-07-11T08:00:06Z,2024-07-11T08:00:06Z,2024,,,,"This book offers a comprehensive and up-to-date overview of the progress and innovations in the field of novel biomaterials applied in tissue engineering. It focuses on the development, characterization, and application of a wide range of advanced biomaterials, from biodegradable metallic alloys to hydroxyapatite composites and nanofiber technologies, with a special emphasis on enhancing tissue regeneration and wound healing. These aspects may be of interest to decision-makers in health and technology, providing vision into future research directions and the potential impact on patient care.","Made available in DSpace on 2024-07-11T08:00:06Z (GMT). No. of bitstreams: 1
web_image.jpg: 81432 bytes, checksum: 14a6b3cd5380b8c59832dd8d25fe05d7 (MD5)
  Previous issue date: 2024",,,,ONIX_20240711_9781837692293_117,,,2631-5343,,,https://directory.doabooks.org/handle/20.500.12854/140303,,English[eng],,,,,,,,,,Biomedical Engineering,,,,,,,,,,,,,,thema EDItEUR::M Medicine and Nursing::MQ Nursing and ancillary services::MQW Biomedical engineering,Biomedical engineering,,Novel Biomaterials for Tissue Engineering,,book,,,,,,,,,,,Archived,,,,,,,,10.5772/intechopen.110991,,IntechOpen,186,,,,,,,,,,,IntechOpen,,9781837692293||9781837692286||9781837692309,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bae461a-d20e-480b-9c13-2d6d3b1225c8,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/2327,Biomaterials_for_Bone_Tissue_Engineering,,https://creativecommons.org/licenses/by-nc-nd/4.0/,,,,,,,"Sanz, José Antonio",,,,2021-02-11T09:10:34Z,2021-02-11T09:10:34Z,2020,09/06/2020 16:38,,,"Bone tissue engineering aims to develop artificial bone substitutes that partially or totally restore the natural regeneration capability of bone tissue lost under circumstances of injury, significant defects, or diseases such as osteoporosis. In this context, biomaterials are the keystone of the methodology. Biomaterials for bone tissue engineering have evolved from biocompatible materials that mimic the physical and chemical environment of bone tissue to a new generation of materials that actively interacts with the physiological environment, accelerating bone tissue growth. Mathematical modelling and simulation are important tools in the overall methodology. This book presents an overview of the current investigations and recent contributions in the field of bone tissue engineering. It includes several successful examples of multidisciplinary collaboration in this transversal area of research. The book is intended for students, researchers, and professionals of a number of disciplines, such as engineering, mathematics, physics, chemistry, biomedicine, biology, and veterinary. The book is composed of an editorial section and 16 original research papers authored by leading researchers of this discipline from different laboratories across the world","Made available in DSpace on 2021-02-11T09:10:34Z (GMT). No. of bitstreams: 1
Biomaterials_for_Bone_Tissue_Engineering.jpg?v1591708763: 275203 bytes, checksum: 68bcbdf3a073f0613941cefd67ef8831 (MD5)
  Previous issue date: 2020",,,,46133,,,,,,https://directory.doabooks.org/handle/20.500.12854/42269,,English[eng],,,,,,,,,,,,,,,,,,,,,,,TA1-2040||T1-995,"thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TB Technology: general issues::TBX History of engineering and technology",bone morphogenesis proteins||n/a||finite element||bone tissue engineering||electrically active implants||prediction marker||vertebra||direct current electric field||loose sintering||Lattice Boltzmann method||Pelvis||automatic segmentation||MSCs||additive manufacturing||finite element method||bioelectromagnetism||optimization||scaffold design||cone beam computed tomography||computational modelling||bone regeneration||oxygen delivery||biomaterials||bone tissue||spark plasma sintering||critical size defect||musculoskeletal modelling||resonance frequency analysis||minipig||numerical methods in bioengineering||computational fluid dynamics||maxillofacial||osteoporosis||sliding window||osseointegration||mass transfer||substrate-mediated electrical stimulation||Fixation design||dental implants||human dental pulp stem cells||numerical results||elastoplasticity||bone tissue regeneration||finite-element simulation||3D-printed implant||selective laser melting||Lagrangian scalar tracking||cortical bone||micromechanics||trabeculae||finite element modelling||damage||titanium||powder metallurgy||pelvis||biomechanics||computational mechanobiology||culturing protocol||bone adaptation||stem cell||Bone tumor||trabecular bone score||Xenografts||triply periodic minimal surfaces||computed tomography||multiscale analysis||cartilage||digital image correlation||osteo-differentiation||wollastonite||transport||finite element analysis||bone marrow||fracture risk||von Mises stress||electric stimulation||mechanical behaviour||adipogenesis||biomaterial applications||computational mechanics||Ti6Al4V scaffolds||finite elements||Otsu’s method||3D virtual surgical plan,,Biomaterials for Bone Tissue Engineering,,book,,,,,,,,,,,Archived,,,1st,,,,,10.3390/books978-3-03928-966-0,,,244,,,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783039289653||9783039289660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072ce070-d0d5-4379-9ad4-232c940130b0,20.500.12854/6,Archived,https://www.frontiersin.org/research-topics/6661/adverse-reactions-to-biomaterials-state-of-the-art-in-biomaterial-risk-assessment-immunomodulation-a,9782889458226,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://www.frontiersin.org/research-topics/6661/adverse-reactions-to-biomaterials-state-of-the-art-in-biomaterial-risk-assessment-immunomodulation-a,,,,,,,"Engin Vrana, Nihal||Ghaemmaghami, Amir M.||Zorlutuna, Pinar",,,2021-11-18T16:08:08Z,2021-11-18T16:08:08Z,2019,,,,"This eBook is a collection of articles from a Frontiers Research Topic. Frontiers Research Topics are very popular trademarks of the Frontiers Journals Series: they are collections of at least ten articles, all centered on a particular subject. With their unique mix of varied contributions from Original Research to Review Articles, Frontiers Research Topics unify the most influential researchers, the latest key findings and historical advances in a hot research area! Find out more on how to host your own Frontiers Research Topic or contribute to one as an author by contacting the Frontiers Editorial Office: frontiersin.org/about/contact","Made available in DSpace on 2021-11-18T16:08:08Z (GMT). No. of bitstreams: 1
Thumb_166.jpg: 7981 bytes, checksum: 56878e6267737133f828ffa3631acf6d (MD5)
  Previous issue date: 2019",,,,ONIX_20211118_9782889458226_118,,,,,,https://directory.doabooks.org/handle/20.500.12854/72987,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,"thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TN Civil engineering, surveying and building||thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TC Biochemical engineering::TCB Biotechnology",biomaterials||in vitro models||immunomodulation||risk||immune reaction||hydrogels||macrophages||tissue engineering||innate immunity||hyaluronic acid||gelatin,,"Adverse Reactions to Biomaterials: State of the Art in Biomaterial Risk Assessment, Immunomodulation and In Vitro Models for Biomaterial Testing",,book,,,,,,,,,,,Archived,,,,,,,,10.3389/978-2-88945-822-6,,,137,,,,,,,,,,,Frontiers Media SA,,9.78E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457665bb-f4f9-41a8-a450-f2a7f8cb991e,20.500.12854/6,Archived,https://mdpi.com/books/pdfview/book/5224,Novel_NanoEngineered_Biomaterials_for_Bone_Tissue_Engineering,9.78E+12,https://creativecommons.org/licenses/by/4.0/,https://mdpi.com/books/pdfview/book/5224,,,,,,,"Ivanovski, Saso||Gulati, Karan||Ali, Abdalla",,,2022-05-06T11:34:21Z,2022-05-06T11:34:21Z,2022,,,,"This book highlights novel nano-engineering advances that enable enhanced bone formation at the implant/biomaterial and bone tissue interface, towards bone tissue engineering applications. Spanning a variety of biomaterial categories, from nanofibrous scaffolds (natural and synthetic) to the nanoscale modification of metallic implants, novel bioactive and therapeutic modifications have made it possible to enhance new bone formation, which could be particularly useful for the management of compromised sites.","Made available in DSpace on 2022-05-06T11:34:21Z (GMT). No. of bitstreams: 1
Novel_NanoEngineered_Biomaterials_for_Bone_Tissue_Engineering.jpg: 276700 bytes, checksum: 3c64d1558c1413c2c162e260e80ee1c4 (MD5)
  Previous issue date: 2022",,,,ONIX_20220506_9783036533490_258,,,,,,https://directory.doabooks.org/handle/20.500.12854/81192,,English[eng],,,,,,,,,,,,,,,,,,,,,,,,"thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TB Technology: general issues||thema EDItEUR::T Technology, Engineering, Agriculture, Industrial processes::TB Technology: general issues::TBX History of engineering and technology",human tooth powder||bioceramics||biocompatibility||bone regeneration||vascularization||nano-composite||microstructure||nanoindentation||bone implants||powder metallurgy||calcium orthophosphates||nano-hydroxyapatite||eggshell||cuttlefish bone||mussel shell||amorphous calcium carbonate||hydrogel||tissue engineering||biphasic calcium phosphate nanoparticle (BCP-NP)||biodegradable||gelatin methacryloyl (GelMA)||visible light||inorganic nanomaterials||nano hydroxyapatites||nano silica||metallic nanomaterials||magnesium and its alloys||hydroxyapatite||surface modifications||titanium implants||corrosion analysis||bioactivity||biomaterial||bone substitute||apatite||microwave-assisted hydrothermal synthesis||microgeometry||mechanobiology||global DNA methylation||osteoblast mechanosensing||n/a,,Novel Nano-Engineered Biomaterials for Bone Tissue Engineering,,book,,,,,,,,,,,Archived,,,,,,,,10.3390/books978-3-0365-3350-6,,,138,,Basel,,,,,,,,,MDPI - Multidisciplinary Digital Publishing Institute,,9783036533490||9783036533506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
